pathway_id,description,source_database,query_count_k,query_set_size_n,background_count_M,background_universe_N,fold_enrichment,odds_ratio,raw_pvalue,adjusted_pvalue_fdr,significance,enrichment_score_es,normalized_enrichment_score_nes,fdr_qvalue,ssgsea_enrichment_score_raw,ssgsea_enrichment_score_normalized,average_annotation_confidence,multi_evidence_pathway_score
map04064,NF-kappa B signaling pathway,KEGG,1,1,100,10000,100.0,inf,0.01,0.02,SIGNIFICANT,-0.8333,-1.0547,0.5398,-4.3333,-1.0,0.5967,6.658
R-HSA-9679506,SARS-CoV-2 Infection / Virion Assembly,Reactome,1,1,300,10000,33.3333,inf,0.03,0.03,SIGNIFICANT,-0.8333,-1.0708,0.9027,-4.3333,-1.0,0.5967,6.6503
